id,name,Total Population,Total Foreign Population,Total Violent Crime,Total Police Officers,Population Density (People per Square km) 
1,Hokkaido,5400000,18280,2188,10602,64.71
2,Aomori,1321000,3688,602,2276,137.52
3,Iwate,1284000,5184,306,2172,84.04
4,Miyagi,2328000,12367,1061,3838,319.56
5,Akita,1037000,3356,278,1969,89.3
6,Yamagata,1131000,6158,656,1980,121.31
7,Fukushima,1935000,9347,795,3536,140.39
8,Ibaraki,2919000,40477,1342,4752,478.84
9,Tochigi,1980000,26429,1312,3329,308.99
10,Gunma,1976000,35458,1241,3404,310.55
11,Saitama,7239000,88734,4488,11358,1906.51
12,Chiba,6197000,78927,3622,11716,1201.9
13,Tokyo,13390000,318829,8788,43494,6119.74
14,Kanagawa,9096000,125686,5543,15301,3764.9
15,Niigata,2313000,11914,1404,4141,183.83
16,Toyama,1070000,11002,395,1923,251.94
17,Ishikawa,1156000,9768,343,1963,276.22
18,Fukui,790000,10562,279,1709,188.59
19,Yamanashi,841000,12484,275,1643,188.35
20,Nagano,2109000,29841,685,3443,155.24
21,Gifu,2041000,36879,705,3472,192.17
22,Shizuoka,3705000,61610,1597,6172,476.22
23,Aichi,7455000,160228,3271,13252,1446.45
24,Mie,1825000,32825,520,3019,315.91
25,Shiga,1416000,21537,713,2266,344.78
26,Kyoto,2610000,41855,1390,6531,3152.94
27,Osaka,8836000,164704,6166,21366,4652.98
28,Hyogo,5541000,79040,3888,11503,659.96
29,Nara,1376000,9255,487,2453,372.8
30,Wakayama,971000,4837,503,2156,205.46
31,Tottori,574000,3596,178,1216,163.67
32,Shimane,697000,4779,179,1507,103.92
33,Okayama,1924000,18476,1243,3503,270.53
34,Hiroshima,2833000,31882,1569,5167,334.2
35,Yamaguchi,1408000,12292,706,3125,230.4
36,Tokushima,764000,4076,244,1533,184.32
37,Kagawa,981000,6858,526,1818,526.85
38,Ehime,1395000,7828,397,2435,245.77
39,Kochi,738000,3172,327,1614,103.87
40,Fukuoka,5091000,40317,2814,10720,1024.14
41,Saga,835000,3594,351,1667,342.35
42,Nagasaki,1386000,6498,764,3055,338.63
43,Kumamoto,1794000,7624,851,3072,242.3
44,Oita,1171000,8841,354,2046,184.73
45,Miyazaki,1114000,3802,418,2018,166.64
46,Kagoshima,1668000,5490,529,2999,182.65
47,Okinawa,1421000,7651,890,2594,625.72